,inputs,preds,golds
0,modern2poem: 在 我 东 晋 鼎 盛 日 ，,generated:在 东 晋 兴 日 。,"在 我 中 晋 ，
"
1,modern2poem: 没 有 时 间 安 居 休 息 ， 都 是 为 了 和 猃 狁 打 仗 。,"generated:无 时 安 居, 都 为, � 。","不 遑 启 居 ， 猃 狁 之 故 。
"
2,modern2poem: 瞻 望 不 见 人 影 ， 泪 流 纷 如 雨 降 。,"generated:瞻 望 不 人 影, 流 纷 如 雨 。","瞻 望 弗 及 ， 泣 涕 如 雨 。
"
3,modern2poem: 问 我 为 何 能 如 此 ， 只 要 心 志 高 远 ， 自 然 就 会 觉 得 所 处 地 方 僻 静 了 。,"generated:以 为 以 为 以 为, 以 为, 以 为, 以 为 。","问 君 何 能 尔 ？ 心 远 地 自 偏 。
"
4,modern2poem: 一 行 秋 雁 高 高 地 掠 过 了 星 空 ， 千 家 万 户 传 来 了 捣 衣 的 声 响 。,"generated:秋 雁 高 地 掠 星, 千 户 传 来 捣 衣 。","星 河 秋 一 雁 ， 砧 杵 夜 千 家 。
"
5,modern2poem: 连 日 雨 后 ， 树 木 稀 疏 的 村 落 里 炊 烟 冉 冉 升 起 。 烧 好 的 粗 茶 淡 饭 是 送 给 村 东 耕 耘 的 人 。,generated:雨 雨 后 树 木 落 烟 冉 升 。 烧 粗 茶 淡 是 送 村 东 耕 。,"积 雨 空 林 烟 火 迟 ， 蒸 藜 炊 黍 饷 东 菑 。
"
6,modern2poem: 将 士 何 须 哀 怨 那 柳 树 不 发 芽 ，,"generated:将 何 须 哀 那 柳 树 不 发,","羌 笛 何 须 怨 杨 柳 ，
"
7,modern2poem: 我 的 头 发 刚 刚 盖 过 额 头 ， 便 同 你 一 起 在 门 前 做 折 花 的 游 戏 。,generated:头 发 盖 头 同 在 门 作 折花 。,"妾 发 初 覆 额 ， 折 花 门 前 剧 。
"
8,modern2poem: 织 布 机 札 札 不 停 地 响 个 不 停 。,generated:布 机 札 不 地 响 不 。,"札 札 弄 机 杼 。
"
9,modern2poem: 古 木 参 天 却 没 有 人 行 路 径 ， 深 山 里 何 处 传 来 古 寺 鸣 钟 。,"generated:古木 参 天 没 人 行 路, 深 山 何 传 古 寺 鸣 。","古 木 无 人 径 ， 深 山 何 处 钟 。
"
10,modern2poem: 辜 负 你 频 繁 地 来 把 我 慰 问 。,generated:虚 负 来 慰 。,"愧 君 相 见 频 。
"
